,uid,tic,passed,buffer_size,use_contextlib
217,217,1712730829.7261808,0.6415743827819824,45,False
218,218,1712730829.751862,0.6158931255340576,45,False
219,219,1712730829.7584348,0.6093204021453857,45,False
220,220,1712730829.8046527,0.5631024837493896,45,False
221,221,1712730829.886984,0.4807710647583008,45,False
222,222,1712730829.9473653,0.42389345169067383,45,False
223,223,1712730830.0250952,0.3461635112762451,45,False
224,224,1712730830.1100235,0.26123523712158203,45,False
225,225,1712730830.1391478,0.2337653636932373,45,False
226,226,1712730830.2047818,0.16842341423034668,45,False
227,227,1712730830.2922058,0.08099937438964844,45,False
228,228,1712730830.3742213,2.2325775623321533,39,False
229,229,1712730830.4191248,2.187674045562744,39,False
230,230,1712730830.4205604,2.1862385272979736,39,False
231,231,1712730830.4370008,2.1697981357574463,39,False
232,232,1712730830.500744,2.1100640296936035,39,False
233,233,1712730830.5853047,2.025503396987915,39,False
234,234,1712730830.6746743,1.936133861541748,39,False
235,235,1712730830.6821694,1.9310216903686523,39,False
236,236,1712730830.759749,1.8535237312316895,39,False
237,237,1712730830.7886865,1.8245861530303955,39,False
238,238,1712730830.8309114,1.7833619117736816,39,False
239,239,1712730830.888096,1.7271766662597656,39,False
240,240,1712730830.9492245,1.6665449142456055,39,False
241,241,1712730830.993089,1.622680425643921,39,False
242,242,1712730831.0939567,1.5223400592803955,39,False
243,243,1712730831.1865578,1.429738998413086,39,False
244,244,1712730831.265632,1.352159023284912,39,False
245,245,1712730831.309432,1.308358907699585,39,False
246,246,1712730831.401077,1.2167139053344727,39,False
247,247,1712730831.414286,1.2045063972473145,39,False
248,248,1712730831.4652174,1.1535749435424805,39,False
249,249,1712730831.5037217,1.1150705814361572,39,False
250,250,1712730831.6037266,1.0150656700134277,39,False
251,251,1712730831.6622076,0.9565846920013428,39,False
252,252,1712730831.6819048,0.9368875026702881,39,False
253,253,1712730831.6916077,0.9271845817565918,39,False
254,254,1712730831.7523634,0.8664288520812988,39,False
255,255,1712730831.8462386,0.7725536823272705,39,False
256,256,1712730831.8563519,0.76645827293396,39,False
257,257,1712730831.886606,0.7366013526916504,39,False
258,258,1712730831.8929482,0.7302591800689697,39,False
259,259,1712730831.9702446,0.6539633274078369,39,False
260,260,1712730832.0577781,0.566429853439331,39,False
261,261,1712730832.1594982,0.4647097587585449,39,False
262,262,1712730832.2371678,0.38803911209106445,39,False
263,263,1712730832.320688,0.3045189380645752,39,False
264,264,1712730832.415865,0.2103421688079834,39,False
265,265,1712730832.4942453,0.13196182250976562,39,False
266,266,1712730832.5491555,0.07814598083496094,39,False
267,267,1712730832.6276565,3.8707361221313477,75,False
268,268,1712730832.6689467,3.83044695854187,75,False
269,269,1712730832.7364788,3.7639129161834717,75,False
270,270,1712730832.7640233,3.7378478050231934,75,False
271,271,1712730832.7663033,3.7371325492858887,75,False
272,272,1712730832.767586,3.7367963790893555,75,False
273,273,1712730832.8562324,3.6488962173461914,75,False
274,274,1712730832.8851473,3.619981288909912,75,False
275,275,1712730832.9679193,3.5382537841796875,75,False
276,276,1712730833.0005288,3.5066444873809814,75,False
277,277,1712730833.0372574,3.4702093601226807,75,False
278,278,1712730833.0895004,3.4185891151428223,75,False
279,279,1712730833.1500816,3.3580079078674316,75,False
280,280,1712730833.2228446,3.2862460613250732,75,False
281,281,1712730833.2446027,3.2644879817962646,75,False
282,282,1712730833.2899451,3.2191455364227295,75,False
283,283,1712730833.3615062,3.1475844383239746,75,False
284,284,1712730833.408132,3.1009585857391357,75,False
285,285,1712730833.4681976,3.040893077850342,75,False
286,286,1712730833.4846513,3.0244393348693848,75,False
287,287,1712730833.5365555,2.9725351333618164,75,False
288,288,1712730833.6002135,2.90887713432312,75,False
289,289,1712730833.6388385,2.874066114425659,75,False
290,290,1712730833.6822248,2.8306798934936523,75,False
291,291,1712730833.7459273,2.766977310180664,75,False
292,292,1712730833.749033,2.764876127243042,75,False
293,293,1712730833.8056731,2.7082359790802,75,False
294,294,1712730833.891814,2.6230947971343994,75,False
295,295,1712730833.9921367,2.5227720737457275,75,False
296,296,1712730834.070376,2.444532871246338,75,False
297,297,1712730834.1719587,2.34394907951355,75,False
298,298,1712730834.2036014,2.3123064041137695,75,False
299,299,1712730834.2286084,2.288299560546875,75,False
300,300,1712730834.303114,2.213793992996216,75,False
301,301,1712730834.4034991,2.114410638809204,75,False
302,302,1712730834.4903674,2.0275423526763916,75,False
303,303,1712730834.5328562,1.9861996173858643,75,False
304,304,1712730834.5641062,1.9549496173858643,75,False
305,305,1712730834.6178288,1.9012269973754883,75,False
306,306,1712730834.6194508,1.8996050357818604,75,False
307,307,1712730834.6899164,1.8291394710540771,75,False
308,308,1712730834.6959548,1.8231010437011719,75,False
309,309,1712730834.7529638,1.76609206199646,75,False
310,310,1712730834.8456178,1.6734380722045898,75,False
311,311,1712730834.9315572,1.587498664855957,75,False
312,312,1712730835.0055032,1.5177257061004639,75,False
313,313,1712730835.018503,1.5047259330749512,75,False
314,314,1712730835.1182468,1.4060099124908447,75,False
315,315,1712730835.1217399,1.4025168418884277,75,False
316,316,1712730835.1814356,1.3428211212158203,75,False
317,317,1712730835.2581553,1.2676045894622803,75,False
318,318,1712730835.2705438,1.255216121673584,75,False
319,319,1712730835.3043933,1.2213666439056396,75,False
320,320,1712730835.341622,1.1851410865783691,75,False
321,321,1712730835.4080114,1.1194899082183838,75,False
322,322,1712730835.436331,1.091475248336792,75,False
323,323,1712730835.5175662,1.010240077972412,75,False
324,324,1712730835.543942,0.9838643074035645,75,False
325,325,1712730835.6189814,0.9088249206542969,75,False
326,326,1712730835.651946,0.8758602142333984,75,False
327,327,1712730835.7505438,0.7772624492645264,75,False
328,328,1712730835.7927396,0.7350666522979736,75,False
329,329,1712730835.8109663,0.7168400287628174,75,False
330,330,1712730835.824168,0.7036383152008057,75,False
331,331,1712730835.833105,0.6987481117248535,75,False
332,332,1712730835.914767,0.6170861721038818,75,False
333,333,1712730835.9980621,0.5346596240997314,75,False
334,334,1712730836.0511296,0.48159217834472656,75,False
335,335,1712730836.1119163,0.4208054542541504,75,False
336,336,1712730836.1675203,0.36620593070983887,75,False
337,337,1712730836.2085557,0.32517051696777344,75,False
338,338,1712730836.2275684,0.3071575164794922,75,False
339,339,1712730836.242149,0.29257678985595703,75,False
340,340,1712730836.321641,0.21408510208129883,75,False
341,341,1712730836.4004364,0.13575959205627441,75,False
342,342,1712730836.536196,1.1158876419067383,21,False
343,343,1712730836.596443,1.0573163032531738,21,False
344,344,1712730836.6160035,1.0387663841247559,21,False
345,345,1712730836.6612213,0.9945471286773682,21,False
346,346,1712730836.697375,0.9583933353424072,21,False
347,347,1712730836.7189863,0.937781810760498,21,False
348,348,1712730836.7945805,0.8621876239776611,21,False
349,349,1712730836.841036,0.816535472869873,21,False
350,350,1712730836.9388905,0.7186810970306396,21,False
351,351,1712730837.0319052,0.6256663799285889,21,False
352,352,1712730837.0793936,0.5781779289245605,21,False
353,353,1712730837.1277323,0.529839277267456,21,False
354,354,1712730837.1581502,0.4994213581085205,21,False
355,355,1712730837.2065396,0.4510319232940674,21,False
356,356,1712730837.2771375,0.3804340362548828,21,False
357,357,1712730837.292605,0.3684701919555664,21,False
358,358,1712730837.3587096,0.3023655414581299,21,False
359,359,1712730837.4260788,0.23499631881713867,21,False
360,360,1712730837.459033,0.2020421028137207,21,False
361,361,1712730837.557411,0.10543322563171387,21,False
362,362,1712730837.6305547,0.03228950500488281,21,False
363,363,1712730837.6628442,0.2901010513305664,6,False
364,364,1712730837.7208195,0.23312997817993164,6,False
365,365,1712730837.7400162,0.21492719650268555,6,False
366,366,1712730837.761753,0.19419527053833008,6,False
367,367,1712730837.782547,0.17439508438110352,6,False
368,368,1712730837.8526075,0.10448670387268066,6,False
